12;92,2085;98,9061;79,9145;8,6442;3,1657;5,0000;0,5000;1,6732;10,3063;18,0953;6,1538;3,5298
0;-1,0000;-1,0000;-1,0000;0,0000;2,5151;4,9856;0,5162;1,4533;13,5693;19,5638;5,5496;4,3637
1;83,8059;98,8080;79,9145;7,1681;2,2875;4,9856;0,5000;1,1921;13,0060;20,0000;5,0000;4,2721
2;86,6477;98,8604;79,9145;8,4349;1,9595;3,6493;0,5000;0,8021;12,0996;20,0000;5,0000;4,1532
3;88,3688;98,9058;79,9145;9,0168;1,9527;3,6493;0,5000;0,8869;12,3780;20,0000;4,9000;5,0187
4;89,3732;98,9058;79,9145;9,0422;1,9008;3,6493;0,3098;0,8230;11,6334;20,0000;5,0000;5,1362
5;87,3319;98,9058;79,9145;8,7915;1,8311;3,3671;0,4950;0,7902;12,2455;20,0000;5,0000;4,7985
6;89,2100;98,9058;79,9145;8,9962;1,9037;4,4740;0,5000;0,9536;12,9851;20,0000;5,0000;4,8639
7;92,3399;98,9193;79,9145;8,3436;1,5854;3,9260;0,5000;0,9570;11,7637;20,0000;5,0000;4,1785
8;93,1754;98,9193;79,9145;7,9671;1,5372;3,9260;0,5000;0,9553;11,6999;20,0000;5,0000;4,1206
9;95,4452;98,9193;79,9145;6,7435;1,7525;5,0000;0,5000;1,1026;12,5929;20,0000;5,0000;4,7285
10;96,1440;98,9256;79,9145;5,4834;1,7746;3,6847;0,5000;0,8414;14,1279;20,0000;5,0000;4,5753
