12;97,8733;98,9314;79,9145;3,2552;3,6284;5,0000;0,5000;1,1217;12,9117;20,0000;7,9157;3,3509
0;-1,0000;-1,0000;-1,0000;0,0000;2,6845;4,9858;0,7058;1,2032;12,2722;19,7966;5,2443;4,7742
1;81,9431;98,3592;79,9145;5,3969;2,6318;4,5778;1,0182;1,1209;11,8170;20,0000;5,0000;4,9653
2;85,8878;98,9117;79,9145;8,2004;2,6954;4,5778;0,5000;1,2315;14,0117;20,0067;5,0000;4,5074
3;86,5693;98,9117;79,9145;8,4918;2,5484;5,0000;0,5000;1,3423;14,1643;20,0067;5,0000;3,9948
4;85,8925;98,9117;79,9145;8,2615;2,7136;4,7501;0,5000;1,2504;14,8858;20,0067;5,0000;3,0784
5;87,0811;98,9117;79,9145;8,6051;2,5837;4,8728;0,5000;1,3271;15,1228;20,0067;6,6330;2,9402
6;90,4465;98,9117;79,9145;8,7923;2,6632;5,0000;0,5000;1,2255;15,7174;20,0067;10,5353;2,6548
7;91,7314;98,9117;79,9145;8,3874;2,6572;5,0000;0,5000;1,2727;15,4846;20,0067;8,5992;2,7534
8;94,7552;98,9117;79,9145;6,4886;2,5591;5,0000;0,5000;1,3768;14,9355;20,0067;5,0000;3,6348
9;94,5170;98,9117;79,9145;7,1029;2,3216;5,0000;0,5000;1,3134;15,8851;20,0067;5,0000;3,6046
10;96,9172;98,9117;79,9145;4,5848;2,2136;4,9047;0,5000;1,1846;16,4005;20,0067;10,3170;3,0297
