Type; Fitness; HP; Stamina; Speed; Temp/TempRes; Wet/WetRes; EatPredator; EatHerbivore; FatSave
Best predator;153,5362;97,99728;20,0;5,0;11,4;44,2;2,99166;-;0,02193322
Best herbivore;155,1732;97,63135;20,0;5,0;10,6;43,3;-;3,659417;1
hardMode;-;-;-;-;-40,61573;53,69824;1,153561;2,974589;-
Best predator;149,9486;96,79169;20,0;5,0;-41,7;50,3;1,899806;-;0,04394693
Best herbivore;154,8174;97,90852;20,0;5,0;-40,6;54,1;-;5,187583;1
hardMode;-;-;-;-;-27,64759;66,16255;1,694087;3,950524;-
Best predator;150,1437;96,36943;20,0;5,0;-30,9;63,4;1,808662;-;0,5810849
Best herbivore;155,3262;97,31911;20,0;5,0;-27,8;63,7;-;2,083198;1,188647
easyMode;-;-;-;-;11,25512;48,1484;5,063564;5,081099;-
Best predator;153,5362;97,99605;20,0;5,0;11,2;48,2;3,88301;-;0,2779318
Best herbivore;154,7281;97,76017;20,0;5,0;11,1;49,1;-;5,421932;0,7288766
