Generation;AvgFitness;MaxFitness;MinFitness;StdDevFitness;AvgStamina;MaxStamina;MinStamina;StdDevStamina;AvgSpeed;MaxSpeed;MinSpeed;StdDevSpeed;AvgEatNeed;MaxEatNeed;MinEatNeed;StdDevEatNeed;AvgFatSave;MaxFatSave;MinFatSave;StdDevFatSave
40;154,0191;155,1656;138,9692;2,8211;4,9928;5,1159;4,8933;0,0289;19,8298;20,0000;16,5399;0,5977;2,5753;3,6794;2,0000;0,3543;0,9513;1,0746;0,3678;0,1286
41;153,8816;155,1656;138,9692;3,5310;4,9879;5,0047;4,7920;0,0332;19,7946;20,0000;16,5359;0,7552;2,5380;3,1707;2,0379;0,3354;0,9832;1,1054;0,8506;0,0438
42;152,2287;155,1656;133,9751;6,2394;4,9851;5,0000;4,6953;0,0477;19,4274;20,0487;15,0989;1,4130;2,4067;3,0328;2,0000;0,3062;0,9839;1,1084;0,7761;0,0475
43;154,0990;155,1656;146,1398;1,9261;4,9829;5,1584;4,8001;0,0518;19,8975;20,1861;18,2007;0,3568;2,2324;2,9174;2,0000;0,2329;0,9970;1,0562;0,9364;0,0202
44;153,9845;155,1656;142,5371;2,3554;4,9835;5,1584;4,8491;0,0470;19,8687;20,1468;17,3865;0,4494;2,2575;2,9199;2,0000;0,2193;0,9987;1,0562;0,9426;0,0168
45;153,0602;155,1656;138,8053;3,5469;4,9800;5,1584;4,8230;0,0553;19,7006;20,1236;16,5734;0,7641;2,2033;2,5850;1,9770;0,1260;1,0020;1,1062;0,9170;0,0250
46;153,5013;155,1656;145,6035;2,0890;4,9847;5,1898;4,8622;0,0621;19,8010;20,0000;18,0816;0,4082;2,2029;2,3830;2,0000;0,1157;0,9990;1,0562;0,9770;0,0109
47;153,9843;155,1682;149,1575;1,6370;4,9916;5,1584;4,8386;0,0553;19,8733;20,1461;18,9600;0,3019;2,1560;2,4615;2,0000;0,1224;0,9992;1,1514;0,8327;0,0373
48;154,0787;155,1682;146,3166;1,9187;4,9899;5,1584;4,7910;0,0569;19,8802;20,0888;19,0754;0,3001;2,1501;2,4615;1,8558;0,1282;0,9957;1,0226;0,9048;0,0167
49;154,7602;155,1692;153,1078;0,5210;5,0113;5,1981;4,9517;0,0515;19,9625;20,1049;19,6341;0,0855;2,1771;2,4638;2,0000;0,1295;0,9988;1,0000;0,9891;0,0028
