Generation;AvgFitness;MaxFitness;MinFitness;StdDevFitness;AvgStamina;MaxStamina;MinStamina;StdDevStamina;AvgSpeed;MaxSpeed;MinSpeed;StdDevSpeed;AvgEatNeed;MaxEatNeed;MinEatNeed;StdDevEatNeed;AvgFatSave;MaxFatSave;MinFatSave;StdDevFatSave
29;149,8563;153,5014;132,9678;5,3775;4,9596;5,0000;4,7014;0,0556;19,9004;20,0000;19,3916;0,1293;4,0029;5,9685;2,2589;0,7447;0,3022;1,0000;0,0000;0,2883
30;151,1656;153,5014;126,9081;5,3483;4,9668;5,0000;4,6276;0,0644;19,9372;20,0000;19,6810;0,0902;4,0381;5,6147;2,2765;0,6832;0,3406;1,0000;-0,0572;0,3080
31;151,6548;153,5060;131,5428;4,6281;4,9812;5,0000;4,8803;0,0259;19,9419;20,0883;19,6529;0,0975;4,1299;5,2152;2,9507;0,4763;0,2967;1,0000;-0,0572;0,2712
32;152,2234;153,5182;135,0236;3,2205;4,9903;5,0000;4,9385;0,0183;19,9511;20,0000;19,6025;0,0822;4,1758;4,6726;3,2272;0,2685;0,2147;0,8795;-0,0572;0,2219
33;152,1371;153,5218;133,8090;3,2773;4,9927;5,1910;4,9119;0,0386;19,9387;20,1442;19,5165;0,1205;4,2640;4,7936;2,9359;0,3404;0,2575;1,0000;0,0000;0,2805
34;151,2166;153,5256;132,8275;5,1928;4,9878;5,1910;4,7723;0,0643;19,9368;20,0883;19,5917;0,0934;4,3055;4,7855;3,7736;0,2110;0,2455;0,7601;-0,0404;0,2471
35;151,5669;153,5256;133,2601;4,3337;4,9875;5,1910;4,8033;0,0531;19,9203;20,0883;19,4040;0,1244;4,3287;4,7962;3,6598;0,2209;0,2564;0,7601;0,0000;0,1968
36;151,4128;153,5256;129,8474;5,0857;4,9808;5,1910;4,6530;0,0852;19,9206;20,0883;19,2702;0,1393;4,3702;4,7661;3,6598;0,2156;0,2006;0,7960;-0,1975;0,2254
37;152,5083;153,5256;146,1088;1,5616;4,9808;5,1910;4,6356;0,0860;19,9408;20,0000;19,6363;0,0851;4,3349;4,7968;3,1262;0,3188;0,2520;0,9916;0,0000;0,2361
38;152,3087;153,5256;142,8817;1,7169;4,9885;5,1910;4,5282;0,0871;19,8768;20,0000;19,3669;0,1404;4,4506;4,7055;3,9536;0,1675;0,2561;0,8125;0,0000;0,2037
39;152,4869;153,5256;148,3065;1,1805;5,0036;5,1910;4,8422;0,0733;19,8976;20,0772;19,1420;0,1774;4,4629;4,7428;4,1200;0,1648;0,2032;0,9786;0,0000;0,1945
40;151,9516;153,5256;147,0005;1,7872;4,9986;5,1910;4,8357;0,0740;19,8213;20,1437;18,8098;0,3048;4,5246;4,9049;4,0284;0,2060;0,1924;0,8607;0,0000;0,1661
41;151,4997;153,5256;144,4741;2,3101;4,9865;5,1910;4,8166;0,0878;19,7813;20,0000;18,4098;0,3941;4,4761;5,1220;3,9101;0,2582;0,2513;1,0000;0,0000;0,2390
42;152,0535;153,5256;143,7018;1,9048;4,9760;5,1910;4,7579;0,0922;19,8995;20,0000;18,4074;0,2597;4,4894;4,9327;3,6397;0,2537;0,2540;1,0000;0,0000;0,2116
43;151,9909;153,5275;143,0925;2,0803;4,9517;5,0344;4,7752;0,0645;19,9128;20,1765;18,7174;0,2422;4,5326;4,9319;4,0677;0,1857;0,2324;0,8878;0,0000;0,1413
44;151,6544;153,5275;143,0925;2,1156;4,9334;5,0000;4,7128;0,0789;19,9208;20,1867;18,7174;0,2206;4,5271;4,8331;4,1622;0,1642;0,2401;0,6860;0,0000;0,1439
45;152,0157;153,5275;147,9073;1,4760;4,9455;5,0000;4,7722;0,0617;19,9419;20,1838;19,5276;0,1274;4,5237;4,8113;3,9740;0,2126;0,2630;0,8459;0,0000;0,1584
